TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Situação Encerra.
Situação Encerra.: Óbito por tuberculose
Período:2010
"Município de notificação";"Óbito por tuberculose";"Total"
"210215 BREJO DE AREIA";1;1
"210300 CAXIAS";6;6
"210340 COELHO NETO";1;1
"210350 COLINAS";1;1
"210409 FORMOSA DA SERRA NEGRA";1;1
"210515 IGARAPE DO MEIO";1;1
"210530 IMPERATRIZ";4;4
"210540 ITAPECURU MIRIM";1;1
"210600 LIMA CAMPOS";1;1
"210675 MIRANDA DO NORTE";1;1
"210750 PACO DO LUMIAR";2;2
"210820 PEDREIRAS";2;2
"210845 PERITORO";1;1
"210850 PINDARE-MIRIM";1;1
"210945 RAPOSA";3;3
"210975 SANTA FILOMENA DO MARANHAO";1;1
"210990 SANTA INES";1;1
"211110 SAO JOAO DOS PATOS";2;2
"211120 SAO JOSE DE RIBAMAR";1;1
"211130 SAO LUIS";29;29
"211150 SAO MATEUS DO MARANHAO";3;3
"211170 SAO VICENTE FERRER";2;2
"211280 VIANA";1;1
"220050 AMARANTE";1;1
"220260 CASTELO DO PIAUI";1;1
"220375 FARTURA DO PIAUI";1;1
"220430 FRONTEIRAS";1;1
"220605 MASSAPE DO PIAUI";1;1
"220770 PARNAIBA";3;3
"220790 PEDRO II";1;1
"220810 PIMENTEIRAS";1;1
"220830 PIRACURUCA";2;2
"221100 TERESINA";12;12
"230030 ACOPIARA";1;1
"230180 BAIXIO";1;1
"230190 BARBALHA";2;2
"230195 BARREIRA";1;1
"230200 BARRO";2;2
"230205 BARROQUINHA";1;1
"230260 CAMOCIM";1;1
"230330 CARIUS";1;1
"230370 CAUCAIA";4;4
"230410 CRATEUS";1;1
"230420 CRATO";2;2
"230428 EUSEBIO";1;1
"230440 FORTALEZA";63;63
"230465 GRACA";1;1
"230470 GRANJA";1;1
"230560 INDEPENDENCIA";1;1
"230600 IRACEMA";1;1
"230690 JAGUARIBE";1;1
"230765 MARACANAU";11;11
"230810 MAURITI";1;1
"230970 PACATUBA";2;2
"231040 PARAMOTI";1;1
"231126 QUITERIANOPOLIS";1;1
"231135 QUIXELO";1;1
"231170 RERIUTABA";1;1
"231200 SANTANA DO ACARAU";1;1
"231230 SAO BENEDITO";1;1
"231240 SAO GONCALO DO AMARANTE";2;2
"231290 SOBRAL";8;8
"231300 SOLONOPOLE";1;1
"231320 TAMBORIL";1;1
"231340 TIANGUA";1;1
"231390 URUOCA";1;1
"231410 VICOSA DO CEARA";1;1
"240020 ACU";1;1
"240130 AUGUSTO SEVERO";1;1
"240200 CAICO";2;2
"240230 CARAUBAS";2;2
"240260 CEARA-MIRIM";1;1
"240325 PARNAMIRIM";1;1
"240610 JUCURUTU";1;1
"240760 MESSIAS TARGINO";1;1
"240800 MOSSORO";6;6
"240810 NATAL";34;34
"240890 PARELHAS";1;1
"241100 RODOLFO FERNANDES";1;1
"241340 SERRA NEGRA DO NORTE";1;1
"241360 SEVERIANO MELO";1;1
"250080 ARACAGI";1;1
"250090 ARARA";1;1
"250370 CAJAZEIRAS";2;2
"250400 CAMPINA GRANDE";2;2
"250600 ESPERANCA";1;1
"250680 INGA";1;1
"250750 JOAO PESSOA";36;36
"250900 MANAIRA";1;1
"251210 POMBAL";2;2
"251370 SANTA RITA";1;1
"251620 SOUSA";1;1
"260005 ABREU E LIMA";1;1
"260030 AGRESTINA";1;1
"260120 ARCOVERDE";1;1
"260190 BEZERROS";1;1
"260290 CABO DE SANTO AGOSTINHO";1;1
"260410 CARUARU";4;4
"260450 CHA GRANDE";1;1
"260560 FLORES";1;1
"260600 GARANHUNS";1;1
"260620 GOIANA";2;2
"260680 IGARASSU";1;1
"260760 ILHA DE ITAMARACA";1;1
"260765 ITAMBE";1;1
"260775 ITAPISSUMA";1;1
"260790 JABOATAO DOS GUARARAPES";16;16
"260880 LAJEDO";1;1
"260890 LIMOEIRO";1;1
"260940 MORENO";1;1
"260960 OLINDA";13;13
"261010 PALMEIRINA";1;1
"261070 PAULISTA";2;2
"261100 PETROLANDIA";1;1
"261110 PETROLINA";2;2
"261160 RECIFE";142;142
"261300 SAO BENTO DO UNA";1;1
"261370 SAO LOURENCO DA MATA";1;1
"261530 TIMBAUBA";1;1
"261560 TRINDADE";1;1
"270030 ARAPIRACA";3;3
"270220 COQUEIRO SECO";1;1
"270430 MACEIO";38;38
"270640 PAO DE ACUCAR";1;1
"270690 PILAR";1;1
"270710 PIRANHAS";2;2
"270890 SATUBA";2;2
"280030 ARACAJU";18;18
"280290 ITABAIANA";2;2
"280450 NOSSA SENHORA DA GLORIA";1;1
"280710 SIMAO DIAS";1;1
"280740 TOBIAS BARRETO";2;2
"290040 AGUA FRIA";1;1
"290270 BARRA";2;2
"290390 BOM JESUS DA LAPA";7;7
"290530 CAFARNAUM";1;1
"290560 CAMACAN";1;1
"290570 CAMACARI";6;6
"290580 CAMAMU";1;1
"290590 CAMPO ALEGRE DE LOURDES";1;1
"290720 CASA NOVA";2;2
"290880 CONTENDAS DO SINCORA";1;1
"290930 CORRENTINA";1;1
"290980 CRUZ DAS ALMAS";1;1
"291005 DIAS D'AVILA";1;1
"291040 ENCRUZILHADA";1;1
"291050 ENTRE RIOS";7;7
"291072 EUNAPOLIS";6;6
"291080 FEIRA DE SANTANA";10;10
"291090 FIRMINO ALVES";1;1
"291120 GANDU";1;1
"291360 ILHEUS";2;2
"291370 INHAMBUPE";1;1
"291430 IRAMAIA";1;1
"291450 IRARA";1;1
"291460 IRECE";2;2
"291480 ITABUNA";1;1
"291510 ITAGI";1;1
"291560 ITAMARAJU";2;2
"291640 ITAPETINGA";2;2
"291730 ITUBERA";2;2
"291750 JACOBINA";1;1
"291760 JAGUAQUARA";1;1
"291800 JEQUIE";4;4
"291810 JEREMOABO";1;1
"291840 JUAZEIRO";5;5
"291915 LAPAO";1;1
"291980 MACAUBAS";1;1
"292150 MONTE SANTO";1;1
"292160 MORPARA";1;1
"292200 MUCURI";3;3
"292360 PARAMIRIM";2;2
"292380 PARIPIRANGA";2;2
"292400 PAULO AFONSO";2;2
"292460 PINDOBACU";1;1
"292530 PORTO SEGURO";4;4
"292595 RAFAEL JAMBEIRO";2;2
"292600 REMANSO";1;1
"292630 RIACHAO DO JACUIPE";2;2
"292640 RIACHO DE SANTANA";1;1
"292700 RIO REAL";1;1
"292720 RUY BARBOSA";1;1
"292740 SALVADOR";87;87
"292790 SANTA INES";1;1
"292870 SANTO ANTONIO DE JESUS";2;2
"292925 SAO GABRIEL";1;1
"292990 SEABRA";3;3
"293020 SENTO SE";1;1
"293050 SERRINHA";1;1
"293060 SERROLANDIA";2;2
"293075 SITIO DO MATO";1;1
"293077 SOBRADINHO";1;1
"293080 SOUTO SOARES";1;1
"293135 TEIXEIRA DE FREITAS";2;2
"293220 UBAITABA";1;1
"293290 VALENCA";1;1
"293300 VALENTE";1;1
"293320 VERA CRUZ";1;1
"293360 XIQUE-XIQUE";2;2
"310090 AGUAS FORMOSAS";1;1
"310170 ALMENARA";4;4
"310340 ARACUAI";1;1
"310560 BARBACENA";7;7
"310620 BELO HORIZONTE";43;43
"310670 BETIM";8;8
"310940 BURITIZEIRO";1;1
"311030 CALDAS";1;1
"311070 CAMBUQUIRA";1;1
"311120 CAMPO BELO";1;1
"311320 CARANDAI";1;1
"311340 CARATINGA";2;2
"311390 CARMO DA CACHOEIRA";1;1
"311410 CARMO DE MINAS";1;1
"311530 CATAGUASES";2;2
"311550 CAXAMBU";1;1
"311830 CONSELHEIRO LAFAIETE";1;1
"311860 CONTAGEM";3;3
"311940 CORONEL FABRICIANO";1;1
"312230 DIVINOPOLIS";1;1
"312430 ESPINOSA";2;2
"312610 FORMIGA";1;1
"312670 FRANCISCO SA";1;1
"312710 FRUTAL";1;1
"312770 GOVERNADOR VALADARES";13;13
"313010 IGARAPE";1;1
"313130 IPATINGA";5;5
"313190 ITABIRITO";1;1
"313240 ITAJUBA";2;2
"313330 ITAOBIM";1;1
"313375 ITAU DE MINAS";1;1
"313380 ITAUNA";1;1
"313420 ITUIUTABA";3;3
"313505 JAIBA";1;1
"313580 JEQUITINHONHA";1;1
"313650 JORDANIA";1;1
"313670 JUIZ DE FORA";9;9
"313820 LAVRAS";1;1
"313880 LUZ";2;2
"313920 MALACACHETA";1;1
"313930 MANGA";1;1
"313950 MANHUMIRIM";1;1
"314160 MERCES";1;1
"314310 MONTE CARMELO";1;1
"314330 MONTES CLAROS";3;3
"314390 MURIAE";1;1
"314430 NANUQUE";1;1
"314480 NOVA LIMA";2;2
"314560 OLIVEIRA";2;2
"314630 PADRE PARAISO";2;2
"314710 PARA DE MINAS";1;1
"314790 PASSOS";1;1
"314870 PEDRA AZUL";2;2
"315120 PIRAPORA";1;1
"315180 POCOS DE CALDAS";2;2
"315210 PONTE NOVA";3;3
"315220 PORTEIRINHA";1;1
"315460 RIBEIRAO DAS NEVES";1;1
"315600 RIO VERMELHO";1;1
"315700 SALINAS";2;2
"315780 SANTA LUZIA";2;2
"315990 SANTO ANTONIO DO AMPARO";2;2
"316210 SAO GOTARDO";1;1
"316294 SAO JOSE DA BARRA";2;2
"316370 SAO LOURENCO";3;3
"316450 SAO SEBASTIAO DO MARANHAO";1;1
"316870 TIMOTEO";1;1
"316890 TIROS";1;1
"316930 TRES CORACOES";3;3
"317010 UBERABA";7;7
"317020 UBERLANDIA";1;1
"317070 VARGINHA";2;2
"317080 VARZEA DA PALMA";1;1
"320060 ARACRUZ";1;1
"320120 CACHOEIRO DE ITAPEMIRIM";1;1
"320130 CARIACICA";1;1
"320150 COLATINA";3;3
"320320 LINHARES";1;1
"320350 MONTANHA";1;1
"320390 NOVA VENECIA";1;1
"320490 SAO MATEUS";1;1
"320500 SERRA";8;8
"320510 VIANA";2;2
"320520 VILA VELHA";12;12
"320530 VITORIA";19;19
"330010 ANGRA DOS REIS";2;2
"330045 BELFORD ROXO";7;7
"330060 BOM JESUS DO ITABAPOANA";2;2
"330100 CAMPOS DOS GOYTACAZES";10;10
"330120 CARMO";1;1
"330150 CORDEIRO";2;2
"330170 DUQUE DE CAXIAS";51;51
"330220 ITAPERUNA";2;2
"330227 JAPERI";1;1
"330240 MACAE";4;4
"330260 MANGARATIBA";1;1
"330270 MARICA";5;5
"330285 MESQUITA";3;3
"330310 NATIVIDADE";2;2
"330320 NILOPOLIS";12;12
"330330 NITEROI";67;67
"330350 NOVA IGUACU";22;22
"330390 PETROPOLIS";6;6
"330414 QUEIMADOS";5;5
"330415 QUISSAMA";1;1
"330452 RIO DAS OSTRAS";3;3
"330455 RIO DE JANEIRO";357;357
"330490 SAO GONCALO";19;19
"330510 SAO JOAO DE MERITI";7;7
"330520 SAO PEDRO DA ALDEIA";1;1
"330550 SAQUAREMA";1;1
"330580 TERESOPOLIS";5;5
"330600 TRES RIOS";2;2
"330620 VASSOURAS";1;1
"330630 VOLTA REDONDA";3;3
"350160 AMERICANA";4;4
"350170 AMERICO BRASILIENSE";2;2
"350180 AMERICO DE CAMPOS";1;1
"350315 ARAPEI";1;1
"350320 ARARAQUARA";1;1
"350400 ASSIS";1;1
"350410 ATIBAIA";2;2
"350520 BARIRI";1;1
"350550 BARRETOS";1;1
"350600 BAURU";3;3
"350650 BIRIGUI";1;1
"350750 BOTUCATU";4;4
"350760 BRAGANCA PAULISTA";1;1
"350910 CAIUA";1;1
"350950 CAMPINAS";10;10
"351020 CAPAO BONITO";1;1
"351040 CAPIVARI";2;2
"351050 CARAGUATATUBA";1;1
"351060 CARAPICUIBA";3;3
"351160 CESARIO LANGE";1;1
"351300 COTIA";3;3
"351340 CRUZEIRO";3;3
"351360 CUNHA";1;1
"351370 DESCALVADO";1;1
"351380 DIADEMA";3;3
"351400 DOBRADA";1;1
"351500 EMBU DAS ARTES";1;1
"351510 EMBU-GUACU";1;1
"351670 GARCA";2;2
"351840 GUARATINGUETA";1;1
"351870 GUARUJA";2;2
"351880 GUARULHOS";7;7
"351960 IBITINGA";2;2
"352000 IGARACU DO TIETE";1;1
"352030 IGUAPE";1;1
"352044 ILHA SOLTEIRA";1;1
"352210 ITANHAEM";1;1
"352220 ITAPECERICA DA SERRA";1;1
"352230 ITAPETININGA";1;1
"352250 ITAPEVI";1;1
"352310 ITAQUAQUECETUBA";2;2
"352320 ITARARE";1;1
"352340 ITATIBA";1;1
"352390 ITU";3;3
"352440 JACAREI";1;1
"352520 JARINU";2;2
"352590 JUNDIAI";2;2
"352670 LEME";3;3
"352690 LIMEIRA";2;2
"352710 LINS";2;2
"352800 MACATUBA";1;1
"352840 MAIRINQUE";1;1
"352900 MARILIA";5;5
"352930 MATAO";1;1
"352940 MAUA";6;6
"353030 MIRASSOL";1;1
"353050 MOCOCA";1;1
"353060 MOGI DAS CRUZES";5;5
"353070 MOGI GUACU";1;1
"353100 MONCOES";1;1
"353110 MONGAGUA";1;1
"353350 NOVO HORIZONTE";1;1
"353440 OSASCO";15;15
"353470 OURINHOS";3;3
"353550 PARAGUACU PAULISTA";3;3
"353660 PAULO DE FARIA";1;1
"353760 PERUIBE";1;1
"353780 PIEDADE";2;2
"353810 PINDORAMA";1;1
"353870 PIRACICABA";7;7
"353930 PIRASSUNUNGA";1;1
"353950 PITANGUEIRAS";1;1
"353980 POA";1;1
"354075 POTIM";2;2
"354100 PRAIA GRANDE";10;10
"354140 PRESIDENTE PRUDENTE";1;1
"354160 PROMISSAO";2;2
"354210 RAFARD";1;1
"354220 RANCHARIA";2;2
"354240 REGENTE FEIJO";1;1
"354290 RIBEIRAO BONITO";1;1
"354340 RIBEIRAO PRETO";4;4
"354520 SALTO";1;1
"354530 SALTO DE PIRAPORA";3;3
"354540 SALTO GRANDE";1;1
"354580 SANTA BARBARA D'OESTE";2;2
"354780 SANTO ANDRE";10;10
"354850 SANTOS";7;7
"354870 SAO BERNARDO DO CAMPO";1;1
"354880 SAO CAETANO DO SUL";1;1
"354890 SAO CARLOS";4;4
"354910 SAO JOAO DA BOA VISTA";1;1
"354940 SAO JOAQUIM DA BARRA";1;1
"354980 SAO JOSE DO RIO PRETO";8;8
"354990 SAO JOSE DOS CAMPOS";4;4
"355010 SAO MANUEL";1;1
"355020 SAO MIGUEL ARCANJO";1;1
"355030 SAO PAULO";295;295
"355100 SAO VICENTE";2;2
"355210 SOCORRO";1;1
"355220 SOROCABA";7;7
"355240 SUMARE";1;1
"355250 SUZANO";2;2
"355400 TATUI";2;2
"355640 VARGEM GRANDE DO SUL";1;1
"355650 VARZEA PAULISTA";1;1
"355670 VINHEDO";1;1
"355700 VOTORANTIM";2;2
"355710 VOTUPORANGA";1;1
"410040 ALMIRANTE TAMANDARE";2;2
"410060 ALTO PARANA";1;1
"410110 ANDIRA";1;1
"410150 ARAPONGAS";1;1
"410160 ARAPOTI";3;3
"410180 ARAUCARIA";1;1
"410420 CAMPO LARGO";2;2
"410430 CAMPO MOURAO";1;1
"410480 CASCAVEL";1;1
"410490 CASTRO";1;1
"410540 CHOPINZINHO";1;1
"410550 CIANORTE";1;1
"410580 COLOMBO";1;1
"410620 CONTENDA";1;1
"410680 CRUZ MACHADO";1;1
"410690 CURITIBA";18;18
"410765 FAZENDA RIO GRANDE";1;1
"410770 FENIX";1;1
"410830 FOZ DO IGUACU";5;5
"410960 GUARATUBA";2;2
"411010 IMBITUVA";1;1
"411180 JACAREZINHO";2;2
"411280 JOAQUIM TAVORA";1;1
"411320 LAPA";3;3
"411370 LONDRINA";6;6
"411373 LUIZIANA";1;1
"411520 MARINGA";2;2
"411570 MATINHOS";2;2
"411700 NOVA FATIMA";1;1
"411780 PALMITAL";1;1
"411820 PARANAGUA";13;13
"411915 PINHAIS";5;5
"411950 PIRAQUARA";2;2
"411990 PONTA GROSSA";4;4
"412000 PORECATU";2;2
"412170 RESERVA";1;1
"412190 RIBEIRAO DO PINHAL";1;1
"412230 RIO NEGRO";1;1
"412240 ROLANDIA";1;1
"412550 SAO JOSE DOS PINHAIS";2;2
"412630 SENGES";1;1
"412650 SERTANOPOLIS";1;1
"412660 SIQUEIRA CAMPOS";1;1
"412710 TELEMACO BORBA";1;1
"412730 TERRA RICA";1;1
"412750 TIBAGI";1;1
"412760 TIJUCAS DO SUL";1;1
"412770 TOLEDO";3;3
"412810 UMUARAMA";1;1
"420140 ARARANGUA";1;1
"420200 BALNEARIO CAMBORIU";3;3
"420210 BARRA VELHA";1;1
"420240 BLUMENAU";1;1
"420290 BRUSQUE";2;2
"420300 CACADOR";4;4
"420320 CAMBORIU";1;1
"420460 CRICIUMA";2;2
"420480 CURITIBANOS";1;1
"420540 FLORIANOPOLIS";29;29
"420700 ICARA";1;1
"420750 INDAIAL";1;1
"420820 ITAJAI";4;4
"420910 JOINVILLE";1;1
"420940 LAGUNA";1;1
"421225 PASSO DE TORRES";1;1
"421280 BALNEARIO PICARRAS";1;1
"421360 PORTO UNIAO";3;3
"421480 RIO DO SUL";1;1
"421660 SAO JOSE";2;2
"421870 TUBARAO";8;8
"430040 ALEGRETE";3;3
"430060 ALVORADA";10;10
"430210 BENTO GONCALVES";1;1
"430250 BOSSOROCA";1;1
"430300 CACHOEIRA DO SUL";1;1
"430390 CAMPO BOM";1;1
"430460 CANOAS";10;10
"430510 CAXIAS DO SUL";7;7
"430676 ELDORADO DO SUL";2;2
"430700 ERECHIM";1;1
"430770 ESTEIO";5;5
"430920 GRAVATAI";2;2
"430930 GUAIBA";3;3
"431140 LAJEADO";1;1
"431180 MARAU";1;1
"431340 NOVO HAMBURGO";9;9
"431350 OSORIO";2;2
"431410 PASSO FUNDO";1;1
"431440 PELOTAS";3;3
"431470 PLANALTO";2;2
"431490 PORTO ALEGRE";105;105
"431560 RIO GRANDE";2;2
"431640 ROSARIO DO SUL";2;2
"431660 SANANDUVA";1;1
"431680 SANTA CRUZ DO SUL";6;6
"431690 SANTA MARIA";5;5
"431710 SANT'ANA DO LIVRAMENTO";1;1
"431750 SANTO ANGELO";1;1
"431760 SANTO ANTONIO DA PATRULHA";1;1
"431790 SANTO CRISTO";1;1
"431800 SAO BORJA";2;2
"431840 SAO JERONIMO";1;1
"431870 SAO LEOPOLDO";8;8
"431880 SAO LOURENCO DO SUL";3;3
"431990 SAPIRANGA";1;1
"432000 SAPUCAIA DO SUL";7;7
"432080 SOLEDADE";1;1
"432110 TAPES";1;1
"432120 TAQUARA";2;2
"432140 TENENTE PORTELA";1;1
"432180 TRES DE MAIO";1;1
"432190 TRES PASSOS";3;3
"432195 TRINDADE DO SUL";1;1
"432200 TRIUNFO";1;1
"432240 URUGUAIANA";2;2
"432260 VENANCIO AIRES";1;1
"500060 AMAMBAI";2;2
"500070 ANASTACIO";2;2
"500100 APARECIDA DO TABOADO";1;1
"500110 AQUIDAUANA";1;1
"500230 BRASILANDIA";4;4
"500240 CAARAPO";1;1
"500260 CAMAPUA";1;1
"500270 CAMPO GRANDE";23;23
"500320 CORUMBA";5;5
"500325 COSTA RICA";1;1
"500330 COXIM";1;1
"500370 DOURADOS";5;5
"500450 ITAPORA";1;1
"500520 LADARIO";2;2
"500540 MARACAJU";1;1
"500600 NOVA ALVORADA DO SUL";1;1
"500630 PARANAIBA";1;1
"500660 PONTA PORA";1;1
"500690 PORTO MURTINHO";1;1
"510020 AGUA BOA";1;1
"510050 ALTO PARAGUAI";1;1
"510170 BARRA DO BUGRES";2;2
"510180 BARRA DO GARCAS";1;1
"510250 CACERES";1;1
"510340 CUIABA";9;9
"510500 JAURU";1;1
"510610 NOSSA SENHORA DO LIVRAMENTO";1;1
"510622 NOVA MUTUM";1;1
"510675 PONTES E LACERDA";2;2
"510704 PRIMAVERA DO LESTE";1;1
"510760 RONDONOPOLIS";2;2
"510840 VARZEA GRANDE";3;3
"520025 AGUAS LINDAS DE GOIAS";1;1
"520110 ANAPOLIS";4;4
"520510 CATALAO";2;2
"520620 CRISTALINA";1;1
"520740 EDEIA";1;1
"520870 GOIANIA";17;17
"520910 GOIATUBA";1;1
"521930 SANTA HELENA DE GOIAS";1;1
"522185 VALPARAISO DE GOIAS";1;1
"530010 BRASILIA";12;12
"Total";2992;2992
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net 
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos (até 2022).
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse,
     e na coluna a variável "Ano do diagnóstico"; em "Períodos Disponíveis" assinale o ano inicial da série
     e todos os posteriores até o ano atual (para incluir casos notificados com atraso) e em "Seleções Disponíveis"
     assinale os anos do diagnóstico: - Ex. para tabular o nº de casos diagnosticados em 2007 segundo UF de residência
     selecione: na linha a "UF de residência" na Coluna a variável "Ano do diagnóstico" em Períodos disponíveis 2007
     até o ano atual em Seleções o "Ano do diagnóstico" de 2007.
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável "Tipo de entrada":
     caso novo, não sabe e pós óbito.
 A variável "Beneficiário de programa de transferência de renda do governo" não contém dados do Estado de São Paulo (SP).
     Quanto a variável "Terapia antirretroviral durante o tratamento da TB", os dados do estado de SP foram inseridos
     a partir do segundo semestre de 2016.
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan Net (Tuberculose): populações especiais (população privada de
     liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas
     ilícitas e tabagismo), beneficiário de programa de transferência de renda do governo, terapia antirretroviral durante o
     tratamento para a TB, teste molecular rápido TB (TRM-TB) e teste de sensibilidade; as categorias: pós-óbito na variável
     tipo de entrada; e as categorias: mudança de esquema, falência e abandono primário na variável situação de encerramento.
     Por conta disso, não há informações para essas variáveis em anos anteriores.
 A variável "institucionalizado" foi descontinuada em 2015. Portanto, para análise referente à população privada de
     liberdade após esse período, utilizar a variável "PPL" (população privada de liberdade).
 Para informações detalhadas sobre o Sinan – Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais
     da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose .
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2018 estão finalizados.
 Dados de 2018 a 2022 atualizados em 09/2023, sujeitos à revisão.
 Dados a partir de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso
     pelo estado desde janeiro de 2020.
 Dados referentes ao estado de São Paulo são oriundos do Sistema de Controle de Pacientes com Tuberculose TBWEB.
  Dados disponibilizados no TABNET em 11/2023, após homologação da Coordenação Geral de Vigilância da
     Tuberculose, Micoses Endêmicas e Micobactérias não Tuberculosas /CGTM/SVSA.
 
