TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Outra doença
Período:2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"210317 CENTRO NOVO DO MARANHAO";-;-;4;4
"210320 CHAPADINHA";1;-;23;24
"210325 CIDELANDIA";2;-;1;3
"210330 CODO";7;7;26;40
"210340 COELHO NETO";16;1;6;23
"210350 COLINAS";1;1;5;7
"210355 CONCEICAO DO LAGO-ACU";1;-;4;5
"210360 COROATA";2;1;22;25
"210370 CURURUPU";1;1;1;3
"210375 DAVINOPOLIS";2;1;2;5
"210380 DOM PEDRO";4;1;2;7
"210390 DUQUE BACELAR";-;-;4;4
"210400 ESPERANTINOPOLIS";1;-;3;4
"210405 ESTREITO";-;1;2;3
"210408 FERNANDO FALCAO";-;-;3;3
"210409 FORMOSA DA SERRA NEGRA";1;-;-;1
"210410 FORTALEZA DOS NOGUEIRAS";1;-;-;1
"210420 FORTUNA";1;1;1;3
"210430 GODOFREDO VIANA";3;-;-;3
"210440 GONCALVES DIAS";-;-;2;2
"210455 GOVERNADOR EDISON LOBAO";2;1;-;3
"210460 GOVERNADOR EUGENIO BARROS";1;-;1;2
"210462 GOVERNADOR LUIZ ROCHA";1;1;-;2
"210465 GOVERNADOR NEWTON BELLO";-;-;2;2
"210467 GOVERNADOR NUNES FREIRE";1;-;3;4
"210470 GRACA ARANHA";-;-;1;1
"210480 GRAJAU";2;-;16;18
"210490 GUIMARAES";-;-;4;4
"210500 HUMBERTO DE CAMPOS";-;-;1;1
"210510 ICATU";-;-;1;1
"210515 IGARAPE DO MEIO";3;-;9;12
"210520 IGARAPE GRANDE";2;-;-;2
"210530 IMPERATRIZ";16;8;60;84
"210535 ITAIPAVA DO GRAJAU";-;-;2;2
"210540 ITAPECURU MIRIM";1;2;23;26
"210542 ITINGA DO MARANHAO";-;-;8;8
"210547 JENIPAPO DOS VIEIRAS";-;-;3;3
"210550 JOAO LISBOA";4;-;2;6
"210560 JOSELANDIA";-;-;1;1
"210570 LAGO DA PEDRA";-;-;6;6
"210590 LAGO VERDE";-;1;2;3
"210592 LAGOA DO MATO";1;-;-;1
"210594 LAGO DOS RODRIGUES";1;-;4;5
"210600 LIMA CAMPOS";1;-;2;3
"210610 LORETO";1;-;3;4
"210620 LUIS DOMINGUES";1;-;1;2
"210630 MAGALHAES DE ALMEIDA";2;-;-;2
"210632 MARACACUME";2;-;4;6
"210635 MARAJA DO SENA";-;1;-;1
"210637 MARANHAOZINHO";3;-;2;5
"210640 MATA ROMA";-;1;2;3
"210650 MATINHA";1;-;-;1
"210660 MATOES";-;-;2;2
"210667 MILAGRES DO MARANHAO";1;-;-;1
"210670 MIRADOR";-;-;2;2
"210675 MIRANDA DO NORTE";8;1;-;9
"210680 MIRINZAL";-;1;2;3
"210690 MONCAO";15;-;1;16
"210700 MONTES ALTOS";-;-;1;1
"210710 MORROS";-;-;1;1
"210720 NINA RODRIGUES";-;-;3;3
"210730 NOVA IORQUE";-;1;-;1
"210735 NOVA OLINDA DO MARANHAO";-;1;4;5
"210740 OLHO D'AGUA DAS CUNHAS";3;-;5;8
"210745 OLINDA NOVA DO MARANHAO";3;5;3;11
"210750 PACO DO LUMIAR";-;2;12;14
"210760 PALMEIRANDIA";2;1;-;3
"210780 PARNARAMA";-;1;3;4
"210790 PASSAGEM FRANCA";-;-;3;3
"210800 PASTOS BONS";-;-;3;3
"210805 PAULINO NEVES";2;-;-;2
"210810 PAULO RAMOS";2;-;2;4
"210820 PEDREIRAS";3;-;13;16
"210830 PENALVA";2;-;4;6
"210845 PERITORO";-;1;5;6
"210850 PINDARE-MIRIM";10;-;6;16
"210860 PINHEIRO";8;-;8;16
"210870 PIO XII";2;-;3;5
"210880 PIRAPEMAS";1;2;2;5
"210890 POCAO DE PEDRAS";1;-;-;1
"210900 PORTO FRANCO";-;-;3;3
"210905 PORTO RICO DO MARANHAO";-;-;1;1
"210910 PRESIDENTE DUTRA";4;-;1;5
"210927 PRESIDENTE SARNEY";-;-;1;1
"210940 PRIMEIRA CRUZ";-;-;1;1
"210945 RAPOSA";-;-;11;11
"210950 RIACHAO";-;-;9;9
"210960 ROSARIO";8;-;-;8
"210970 SAMBAIBA";-;-;1;1
"210975 SANTA FILOMENA DO MARANHAO";1;-;-;1
"210980 SANTA HELENA";4;-;3;7
"210990 SANTA INES";10;2;27;39
"211000 SANTA LUZIA";9;1;11;21
"211003 SANTA LUZIA DO PARUA";-;-;7;7
"211010 SANTA QUITERIA DO MARANHAO";-;-;9;9
"211020 SANTA RITA";2;-;1;3
"211023 SANTANA DO MARANHAO";-;-;1;1
"211030 SANTO ANTONIO DOS LOPES";1;-;3;4
"211040 SAO BENEDITO DO RIO PRETO";-;-;2;2
"211050 SAO BENTO";1;-;4;5
"211060 SAO BERNARDO";-;-;13;13
"211070 SAO DOMINGOS DO MARANHAO";-;-;7;7
"211085 SAO FRANCISCO DO BREJAO";-;1;-;1
"211090 SAO FRANCISCO DO MARANHAO";1;-;-;1
"211100 SAO JOAO BATISTA";-;2;1;3
"211102 SAO JOAO DO CARU";1;-;-;1
"211105 SAO JOAO DO PARAISO";1;-;-;1
"211110 SAO JOAO DOS PATOS";2;1;4;7
"211120 SAO JOSE DE RIBAMAR";-;6;46;52
"211125 SAO JOSE DOS BASILIOS";-;-;1;1
"211130 SAO LUIS";23;62;848;933
"211140 SAO LUIS GONZAGA DO MARANHAO";2;-;7;9
"211150 SAO MATEUS DO MARANHAO";17;-;3;20
"211153 SAO PEDRO DA AGUA BRANCA";2;-;6;8
"211160 SAO RAIMUNDO DAS MANGABEIRAS";2;-;1;3
"211167 SAO ROBERTO";-;1;2;3
"211170 SAO VICENTE FERRER";3;-;6;9
"211172 SATUBINHA";-;-;3;3
"211174 SENADOR ALEXANDRE COSTA";2;-;-;2
"211176 SENADOR LA ROCQUE";2;-;2;4
"211195 SUCUPIRA DO RIACHAO";1;-;-;1
"211210 TIMBIRAS";-;-;18;18
"211220 TIMON";34;3;20;57
"211223 TRIZIDELA DO VALE";2;2;2;6
"211227 TUFILANDIA";-;-;1;1
"211230 TUNTUM";5;1;3;9
"211240 TURIACU";-;-;10;10
"211245 TURILANDIA";1;-;5;6
"211260 URBANO SANTOS";-;-;5;5
"211270 VARGEM GRANDE";-;1;19;20
"211280 VIANA";4;1;18;23
"211290 VITORIA DO MEARIM";-;-;11;11
"211300 VITORINO FREIRE";6;1;3;10
"211400 ZE DOCA";4;6;14;24
"220020 AGUA BRANCA";-;1;-;1
"220030 ALTO LONGA";-;-;1;1
"220040 ALTOS";1;-;9;10
"220045 ALVORADA DO GURGUEIA";1;-;1;2
"220050 AMARANTE";2;-;2;4
"220060 ANGICAL DO PIAUI";1;-;-;1
"220105 ASSUNCAO DO PIAUI";1;-;-;1
"220115 BAIXA GRANDE DO RIBEIRO";3;-;-;3
"220120 BARRAS";2;-;2;4
"220140 BARRO DURO";-;-;2;2
"220150 BATALHA";-;-;4;4
"220160 BENEDITINOS";-;-;3;3
"220170 BERTOLINIA";1;-;-;1
"220177 BOA HORA";-;-;1;1
"220180 BOCAINA";-;-;1;1
"220190 BOM JESUS";1;-;4;5
"220191 BOM PRINCIPIO DO PIAUI";1;-;-;1
"220194 BOQUEIRAO DO PIAUI";-;-;1;1
"220196 BRASILEIRA";1;-;-;1
"220198 BREJO DO PIAUI";-;1;1;2
"220200 BURITI DOS LOPES";2;1;1;4
"220205 CABECEIRAS DO PIAUI";1;-;-;1
"220208 CAJUEIRO DA PRAIA";-;1;-;1
"220210 CAMPINAS DO PIAUI";-;1;-;1
"220211 CAMPO ALEGRE DO FIDALGO";-;1;-;1
"220213 CAMPO GRANDE DO PIAUI";-;-;1;1
"220220 CAMPO MAIOR";3;-;6;9
"220230 CANTO DO BURITI";2;-;2;4
"220240 CAPITAO DE CAMPOS";1;-;-;1
"220250 CARACOL";-;-;1;1
"220253 CARAUBAS DO PIAUI";-;1;-;1
"220255 CARIDADE DO PIAUI";1;1;1;3
"220260 CASTELO DO PIAUI";-;-;6;6
"220265 CAXINGO";1;-;1;2
"220270 COCAL";1;-;8;9
"220271 COCAL DE TELHA";1;-;3;4
"220272 COCAL DOS ALVES";1;-;-;1
"220275 COLONIA DO GURGUEIA";-;-;1;1
"220277 COLONIA DO PIAUI";-;-;4;4
"220290 CORRENTE";1;-;-;1
"220310 CRISTINO CASTRO";1;1;1;3
"220320 CURIMATA";1;-;-;1
"220325 CURRALINHOS";1;-;-;1
"220327 CURRAL NOVO DO PIAUI";1;-;1;2
"220335 DIRCEU ARCOVERDE";2;-;-;2
"220340 DOM EXPEDITO LOPES";-;-;2;2
"220342 DOMINGOS MOURAO";1;-;1;2
"220345 DOM INOCENCIO";1;-;-;1
"220350 ELESBAO VELOSO";1;-;-;1
"220360 ELISEU MARTINS";-;-;1;1
"220370 ESPERANTINA";2;1;2;5
"220375 FARTURA DO PIAUI";1;-;-;1
"220390 FLORIANO";-;1;18;19
"220420 FRANCISCO SANTOS";-;-;1;1
"220430 FRONTEIRAS";-;-;2;2
"220450 GUADALUPE";-;-;2;2
"220455 GUARIBAS";-;-;1;1
"220460 HUGO NAPOLEAO";-;-;1;1
"220465 ILHA GRANDE";1;-;-;1
"220470 INHUMA";-;1;3;4
"220480 IPIRANGA DO PIAUI";2;-;1;3
"220500 ITAINOPOLIS";-;-;1;1
"220510 ITAUEIRA";2;1;2;5
"220515 JACOBINA DO PIAUI";-;-;1;1
"220520 JAICOS";1;-;1;2
"220525 JARDIM DO MULATO";1;-;-;1
"220535 JOAO COSTA";-;-;1;1
"220540 JOAQUIM PIRES";1;-;3;4
"220550 JOSE DE FREITAS";-;-;3;3
"220551 JUAZEIRO DO PIAUI";-;-;1;1
"220552 JULIO BORGES";-;1;1;2
"220557 LAGOA DE SAO FRANCISCO";-;-;1;1
"220559 LAGOA DO SITIO";-;-;1;1
"220570 LUIS CORREIA";5;-;4;9
"220580 LUZILANDIA";-;1;1;2
"220585 MADEIRO";1;-;-;1
"220600 MARCOS PARENTE";-;-;1;1
"220605 MASSAPE DO PIAUI";1;-;4;5
"220610 MATIAS OLIMPIO";-;1;1;2
"220620 MIGUEL ALVES";1;-;5;6
"220635 MILTON BRANDAO";-;-;1;1
"220640 MONSENHOR GIL";-;1;1;2
"220650 MONSENHOR HIPOLITO";-;-;1;1
"220660 MONTE ALEGRE DO PIAUI";1;-;-;1
"220670 NAZARE DO PIAUI";4;-;-;4
"220675 NOSSA SENHORA DE NAZARE";1;-;-;1
"220680 NOSSA SENHORA DOS REMEDIOS";1;1;1;3
"220690 NOVO ORIENTE DO PIAUI";4;-;1;5
"220700 OEIRAS";-;-;4;4
"220720 PADRE MARCOS";1;-;-;1
"220730 PAES LANDIM";-;-;1;1
"220750 PALMEIRAIS";1;-;1;2
"220760 PARNAGUA";1;-;1;2
"220770 PARNAIBA";4;8;72;84
"220777 PATOS DO PIAUI";1;1;2;4
"220780 PAULISTANA";1;-;2;3
"220790 PEDRO II";2;-;6;8
"220795 NOVA SANTA RITA";-;-;2;2
"220800 PICOS";20;3;1;24
"220810 PIMENTEIRAS";2;1;1;4
"220820 PIO IX";1;-;1;2
"220830 PIRACURUCA";1;-;6;7
"220840 PIRIPIRI";-;4;8;12
"220850 PORTO";-;-;2;2
"220855 PORTO ALEGRE DO PIAUI";1;-;-;1
"220865 QUEIMADA NOVA";-;1;-;1
"220880 REGENERACAO";1;-;-;1
"220890 RIBEIRO GONCALVES";1;-;-;1
"220900 RIO GRANDE DO PIAUI";-;-;1;1
"220910 SANTA CRUZ DO PIAUI";-;-;3;3
"220915 SANTA CRUZ DOS MILAGRES";1;-;1;2
"220920 SANTA FILOMENA";1;-;-;1
